symbol,code,date,shareholding,shareholding_percent,close
600682.SH,600682,2021-03-01,"11,411,765",0.97,10.000
600684.SH,600684,2021-03-01,"1,308,493",0.15,2.850
600685.SH,600685,2021-03-01,"4,458,655",0.54,26.340
600686.SH,600686,2021-03-01,"3,250",0.00,6.560
600687.SH,600687,2021-03-01,"7,834",0.00,0.300
600688.SH,600688,2021-03-01,"80,519,084",1.09,3.700
600690.SH,600690,2021-03-01,"505,429,500",8.01,29.630
600693.SH,600693,2021-03-01,"2,952,265",0.32,4.210
600694.SH,600694,2021-03-01,"6,038,721",2.05,19.680
600697.SH,600697,2021-03-01,"1,552",0.00,13.420
600699.SH,600699,2021-03-01,"120,752,559",9.75,21.690
600702.SH,600702,2021-03-01,"493,966",0.14,70.500
600703.SH,600703,2021-03-01,"121,561,253",2.98,31.190
600704.SH,600704,2021-03-01,"100,773,943",1.99,4.660
600705.SH,600705,2021-03-01,"120,271,567",1.35,4.140
600708.SH,600708,2021-03-01,"6,868,392",0.30,2.490
600711.SH,600711,2021-03-01,"30,605,120",1.26,8.370
600715.SH,600715,2021-03-01,2,0.00,2.180
600716.SH,600716,2021-03-01,"543,120",0.05,4.070
600717.SH,600717,2021-03-01,"1,694,742",0.07,4.710
600718.SH,600718,2021-03-01,"1,160,480",0.09,9.820
600720.SH,600720,2021-03-01,"18,495,988",2.38,14.810
600724.SH,600724,2021-03-01,"6,683",0.00,3.380
600728.SH,600728,2021-03-01,"14,437,529",0.83,6.980
600729.SH,600729,2021-03-01,"10,102,192",2.48,28.950
600730.SH,600730,2021-03-01,"159,935",0.02,4.250
600733.SH,600733,2021-03-01,"8,776,511",0.48,8.270
600736.SH,600736,2021-03-01,"2,283,603",0.19,4.400
600737.SH,600737,2021-03-01,"44,072,580",2.08,10.490
600738.SH,600738,2021-03-01,"1,866,104",0.25,6.980
600739.SH,600739,2021-03-01,"21,382,905",1.39,22.400
600740.SH,600740,2021-03-01,"19,946,163",2.07,6.250
600741.SH,600741,2021-03-01,"199,912,097",6.34,25.620
600742.SH,600742,2021-03-01,"14,388,882",2.15,9.640
600743.SH,600743,2021-03-01,"2,245,938",0.09,2.090
600745.SH,600745,2021-03-01,"30,608,770",3.54,104.300
600748.SH,600748,2021-03-01,"28,970,112",1.57,4.710
600750.SH,600750,2021-03-01,"3,991,339",0.63,10.630
600754.SH,600754,2021-03-01,"51,506,500",6.42,50.900
600755.SH,600755,2021-03-01,"14,991,001",0.81,6.480
600756.SH,600756,2021-03-01,"6,438,411",1.98,13.610
600757.SH,600757,2021-03-01,"199,981",0.01,5.250
600758.SH,600758,2021-03-01,"1,308",0.00,2.750
600759.SH,600759,2021-03-01,"96,960",0.00,1.960
600760.SH,600760,2021-03-01,"14,202,214",1.01,82.490
600761.SH,600761,2021-03-01,"1,545,084",0.20,15.500
600763.SH,600763,2021-03-01,"9,168,144",2.85,264.300
600764.SH,600764,2021-03-01,"1,398,600",0.28,27.860
600765.SH,600765,2021-03-01,"6,975,638",0.81,18.720
600770.SH,600770,2021-03-01,"51,975",0.00,5.240
600771.SH,600771,2021-03-01,197,0.00,17.780
600773.SH,600773,2021-03-01,"413,036",0.05,9.080
600775.SH,600775,2021-03-01,"4,293,945",0.63,6.760
600776.SH,600776,2021-03-01,"4,108,793",0.42,14.250
600777.SH,600777,2021-03-01,"87,779,231",1.40,1.570
600778.SH,600778,2021-03-01,"54,000",0.01,3.660
600779.SH,600779,2021-03-01,"31,049,002",6.35,70.530
600780.SH,600780,2021-03-01,"26,472",0.00,3.230
600781.SH,600781,2021-03-01,369,0.00,2.810
600782.SH,600782,2021-03-01,"235,504,654",7.38,4.590
600783.SH,600783,2021-03-01,"184,456",0.02,14.320
600784.SH,600784,2021-03-01,"17,188",0.00,5.680
600785.SH,600785,2021-03-01,401,0.00,11.050
