symbol,code,date,shareholding,shareholding_percent
600584.SH,600584,2021-02-04,"9,862,293",0.72
600585.SH,600585,2021-02-04,"363,410,782",9.08
600586.SH,600586,2021-02-04,"1,379,929",0.09
600587.SH,600587,2021-02-04,"9,418,200",2.33
600588.SH,600588,2021-02-04,"118,458,238",3.64
600589.SH,600589,2021-02-04,101,0.00
600594.SH,600594,2021-02-04,"723,364",0.09
600596.SH,600596,2021-02-04,"9,643,335",1.37
600597.SH,600597,2021-02-04,"20,998,941",1.71
600598.SH,600598,2021-02-04,"29,298,995",1.64
600600.SH,600600,2021-02-04,"19,758,537",2.83
600601.SH,600601,2021-02-04,"1,715,472",0.07
600604.SH,600604,2021-02-04,"253,708",0.01
600606.SH,600606,2021-02-04,"242,712,432",1.99
600611.SH,600611,2021-02-04,"11,002,291",0.70
600612.SH,600612,2021-02-04,"2,462,031",0.77
600613.SH,600613,2021-02-04,"398,145",0.08
600614.SH,600614,2021-02-04,"749,936",0.04
600616.SH,600616,2021-02-04,"4,941",0.00
600617.SH,600617,2021-02-04,"133,104",0.01
600618.SH,600618,2021-02-04,"3,200",0.00
600620.SH,600620,2021-02-04,"6,095",0.00
600621.SH,600621,2021-02-04,"3,864,482",0.36
600622.SH,600622,2021-02-04,"8,767,690",0.58
600623.SH,600623,2021-02-04,"2,768,494",0.14
600624.SH,600624,2021-02-04,"106,136",0.01
600626.SH,600626,2021-02-04,"4,965,061",0.61
600628.SH,600628,2021-02-04,"331,057",0.05
600629.SH,600629,2021-02-04,41,0.00
600633.SH,600633,2021-02-04,"446,547",0.03
600634.SH,600634,2021-02-04,"7,096",0.00
600635.SH,600635,2021-02-04,"8,505,906",0.35
600636.SH,600636,2021-02-04,"42,878",0.00
600637.SH,600637,2021-02-04,"64,365,960",1.88
600638.SH,600638,2021-02-04,"379,117",0.05
600639.SH,600639,2021-02-04,"8,888,976",1.04
600640.SH,600640,2021-02-04,"34,045",0.00
600641.SH,600641,2021-02-04,"27,364,923",2.85
600642.SH,600642,2021-02-04,"70,324,472",1.54
600643.SH,600643,2021-02-04,"27,400,580",1.69
600645.SH,600645,2021-02-04,"350,101",0.08
600648.SH,600648,2021-02-04,"5,048,086",0.54
600649.SH,600649,2021-02-04,"2,553,380",0.10
600650.SH,600650,2021-02-04,"337,569",0.08
600651.SH,600651,2021-02-04,"67,298",0.00
600654.SH,600654,2021-02-04,"227,831",0.03
600655.SH,600655,2021-02-04,"59,510,589",3.70
600657.SH,600657,2021-02-04,"21,778,552",1.42
600658.SH,600658,2021-02-04,91,0.00
600660.SH,600660,2021-02-04,"155,286,624",7.75
600661.SH,600661,2021-02-04,"47,676",0.01
600662.SH,600662,2021-02-04,"513,013",0.04
600663.SH,600663,2021-02-04,"8,621,737",0.29
600664.SH,600664,2021-02-04,"5,188,975",0.20
600666.SH,600666,2021-02-04,"751,867",0.09
600667.SH,600667,2021-02-04,"48,515,249",2.30
600668.SH,600668,2021-02-04,"693,693",0.20
600673.SH,600673,2021-02-04,"42,700,445",1.73
600674.SH,600674,2021-02-04,"148,778,558",3.37
600675.SH,600675,2021-02-04,"26,841,569",1.19
600676.SH,600676,2021-02-04,"714,398",0.06
600677.SH,600677,2021-02-04,"16,200",0.00
600681.SH,600681,2021-02-04,"7,850,194",0.54
600682.SH,600682,2021-02-04,"10,502,763",0.90
600684.SH,600684,2021-02-04,"1,308,493",0.15
600685.SH,600685,2021-02-04,"4,686,624",0.57
600686.SH,600686,2021-02-04,"3,250",0.00
600687.SH,600687,2021-02-04,"229,774",0.01
600688.SH,600688,2021-02-04,"78,350,078",1.06
600690.SH,600690,2021-02-04,"502,037,819",7.95
600693.SH,600693,2021-02-04,"3,147,276",0.35
600694.SH,600694,2021-02-04,"6,026,664",2.05
600697.SH,600697,2021-02-04,"1,552",0.00
600699.SH,600699,2021-02-04,"124,257,117",10.04
600702.SH,600702,2021-02-04,"493,966",0.14
600703.SH,600703,2021-02-04,"143,568,334",3.52
600704.SH,600704,2021-02-04,"77,237,134",1.52
600705.SH,600705,2021-02-04,"137,213,682",1.54
600708.SH,600708,2021-02-04,"6,931,684",0.31
600711.SH,600711,2021-02-04,"26,509,091",1.09
600715.SH,600715,2021-02-04,2,0.00
600716.SH,600716,2021-02-04,"543,120",0.05
600717.SH,600717,2021-02-04,"1,695,418",0.07
600718.SH,600718,2021-02-04,"1,161,180",0.09
600720.SH,600720,2021-02-04,"18,099,735",2.33
600724.SH,600724,2021-02-04,"6,683",0.00
600728.SH,600728,2021-02-04,"9,819,897",0.56
600729.SH,600729,2021-02-04,"9,743,773",2.39
600730.SH,600730,2021-02-04,"159,935",0.02
600733.SH,600733,2021-02-04,"12,349,554",0.67
600736.SH,600736,2021-02-04,"2,284,203",0.19
600737.SH,600737,2021-02-04,"12,317,047",0.58
600738.SH,600738,2021-02-04,"1,911,207",0.25
600739.SH,600739,2021-02-04,"26,666,656",1.74
600740.SH,600740,2021-02-04,"11,203,714",1.16
600741.SH,600741,2021-02-04,"201,291,416",6.38
600742.SH,600742,2021-02-04,"12,745,318",1.90
600743.SH,600743,2021-02-04,"2,245,938",0.09
600745.SH,600745,2021-02-04,"27,434,562",3.17
600748.SH,600748,2021-02-04,"28,857,053",1.56
600750.SH,600750,2021-02-04,"3,169,395",0.50
600754.SH,600754,2021-02-04,"52,070,341",6.49
600755.SH,600755,2021-02-04,"13,844,041",0.74
600756.SH,600756,2021-02-04,"5,374,362",1.65
600757.SH,600757,2021-02-04,"199,981",0.01
600758.SH,600758,2021-02-04,"1,308",0.00
600759.SH,600759,2021-02-04,"96,960",0.00
600760.SH,600760,2021-02-04,"16,392,808",1.17
600761.SH,600761,2021-02-04,"1,545,084",0.20
600763.SH,600763,2021-02-04,"8,377,457",2.61
600764.SH,600764,2021-02-04,"1,498,395",0.35
600765.SH,600765,2021-02-04,"13,605,373",1.58
600770.SH,600770,2021-02-04,"53,975",0.00
600771.SH,600771,2021-02-04,197,0.00
600773.SH,600773,2021-02-04,"413,036",0.05
600775.SH,600775,2021-02-04,"3,745,245",0.55
600776.SH,600776,2021-02-04,"2,696,611",0.28
600777.SH,600777,2021-02-04,"59,797,206",0.95
600778.SH,600778,2021-02-04,"54,000",0.01
600779.SH,600779,2021-02-04,"30,354,794",6.21
600780.SH,600780,2021-02-04,"26,472",0.00
600781.SH,600781,2021-02-04,369,0.00
600782.SH,600782,2021-02-04,"246,265,979",7.72
600783.SH,600783,2021-02-04,"184,456",0.02
600784.SH,600784,2021-02-04,"17,188",0.00
600785.SH,600785,2021-02-04,401,0.00
600787.SH,600787,2021-02-04,"90,586,191",4.11
600790.SH,600790,2021-02-04,"669,512",0.04
600794.SH,600794,2021-02-04,"389,814",0.03
600795.SH,600795,2021-02-04,"83,619,066",0.42
600797.SH,600797,2021-02-04,"7,500",0.00
600801.SH,600801,2021-02-04,"97,992,675",7.19
600802.SH,600802,2021-02-04,"761,944",0.16
600803.SH,600803,2021-02-04,"88,789,321",7.22
600804.SH,600804,2021-02-04,"13,097,339",0.91
600805.SH,600805,2021-02-04,"527,729",0.06
600807.SH,600807,2021-02-04,"65,133",0.00
600808.SH,600808,2021-02-04,"83,846,449",1.40
600809.SH,600809,2021-02-04,"26,025,496",3.00
600811.SH,600811,2021-02-04,"22,547,615",0.60
600814.SH,600814,2021-02-04,"626,203",0.08
600816.SH,600816,2021-02-04,"500,487",0.00
600818.SH,600818,2021-02-04,"218,722",0.09
600820.SH,600820,2021-02-04,"45,782,519",1.45
600823.SH,600823,2021-02-04,"81,106,667",2.16
600824.SH,600824,2021-02-04,"118,051",0.01
600825.SH,600825,2021-02-04,"872,226",0.08
600826.SH,600826,2021-02-04,"3,245,261",0.77
600827.SH,600827,2021-02-04,"18,541,076",1.15
600828.SH,600828,2021-02-04,"6,752,217",0.38
600829.SH,600829,2021-02-04,"77,414",0.01
600830.SH,600830,2021-02-04,"370,114",0.08
600831.SH,600831,2021-02-04,"475,501",0.06
600833.SH,600833,2021-02-04,"23,600",0.01
600835.SH,600835,2021-02-04,"78,180,118",9.69
600837.SH,600837,2021-02-04,"127,383,307",1.57
600838.SH,600838,2021-02-04,"280,770",0.07
600839.SH,600839,2021-02-04,"1,457,327",0.03
600845.SH,600845,2021-02-04,"32,099,603",3.82
600846.SH,600846,2021-02-04,"4,296,028",0.68
600848.SH,600848,2021-02-04,"14,510,821",1.19
600850.SH,600850,2021-02-04,"2,607,575",0.61
600856.SH,600856,2021-02-04,"1,717,956",0.12
600858.SH,600858,2021-02-04,"92,332",0.01
600859.SH,600859,2021-02-04,"11,086,233",1.42
600860.SH,600860,2021-02-04,"493,175",0.15
600862.SH,600862,2021-02-04,"12,150,199",0.87
600863.SH,600863,2021-02-04,"32,276,006",0.55
600864.SH,600864,2021-02-04,"24,347",0.00
600867.SH,600867,2021-02-04,"115,549,199",5.70
600869.SH,600869,2021-02-04,"1,045,378",0.04
600871.SH,600871,2021-02-04,"20,254,702",0.14
600872.SH,600872,2021-02-04,"97,353,692",12.22
600873.SH,600873,2021-02-04,"530,975",0.01
600874.SH,600874,2021-02-04,"7,514,344",0.69
600875.SH,600875,2021-02-04,"36,500,383",1.82
600876.SH,600876,2021-02-04,"1,049,496",0.37
600879.SH,600879,2021-02-04,"28,627,587",1.05
600880.SH,600880,2021-02-04,"431,226",0.03
600881.SH,600881,2021-02-04,"4,318,601",0.13
600884.SH,600884,2021-02-04,"3,416,809",0.20
600885.SH,600885,2021-02-04,"120,987,966",16.24
600886.SH,600886,2021-02-04,"160,546,178",2.30
600887.SH,600887,2021-02-04,"745,685,317",12.57
600888.SH,600888,2021-02-04,"659,080",0.07
600891.SH,600891,2021-02-04,"6,194",0.00
600893.SH,600893,2021-02-04,"39,248,833",1.86
600894.SH,600894,2021-02-04,"28,804",0.00
600895.SH,600895,2021-02-04,"15,166,406",0.97
600897.SH,600897,2021-02-04,"3,969,018",1.33
600900.SH,600900,2021-02-04,"1,334,052,543",5.86
600901.SH,600901,2021-02-04,"373,506",0.02
600903.SH,600903,2021-02-04,"6,746,166",0.59
600909.SH,600909,2021-02-04,"31,998,661",0.88
600917.SH,600917,2021-02-04,"1,514,318",0.09
600918.SH,600918,2021-02-04,"4,125,511",0.59
